,Compound,Date,Negative,Neutral,Positive,Tweet,User
0,0.8932,2018-05-31 23:50:00,0.545,0.0,0.455,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",CBS
1,0.8442,2018-06-01 17:00:03,0.664,0.0,0.336,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,CBS
2,-0.3903,2018-06-01 17:39:17,0.807,0.131,0.062,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",CBS
3,0.0,2018-06-04 17:00:00,1.0,0.0,0.0,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",CBS
4,0.0,2018-06-05 15:04:41,1.0,0.0,0.0,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",CBS
5,0.5093,2018-06-05 19:00:02,0.845,0.0,0.155,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,CBS
6,0.4574,2018-06-05 22:12:28,0.824,0.0,0.176,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,CBS
7,-0.4404,2018-06-05 22:23:35,0.723,0.177,0.1,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",CBS
8,0.3595,2018-06-06 00:08:30,0.872,0.0,0.128,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",CBS
9,0.2732,2018-06-06 21:00:24,0.719,0.105,0.176,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,CBS
10,0.3612,2018-06-07 17:03:26,0.872,0.0,0.128,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",CBS
